力量コード  ###[education_code]###,力量名  ###[education_name]###,力量カテゴリーコード  ###[competence_category_code]###,力量カテゴリー,力量レベルパターンコード ###[competence_scale_code]###,もうすぐ有効期限切れ（有効期限の〇日前）  ###[notify_expiration_timing_date_before]###,メール通知  ###[notify_email]###,概要  ###[overview]###,URL  ###[urls]###,有効期限切れの表示  ###[expired_highlight]###,管理者への公開  ###[competence_publish_type]###,学習形態  ###[learning_form]###,提供者  ###[provider]###,カリキュラム  ###[curriculum]###,対象者  ###[target]###,場所  ###[place]###,費用  ###[cost]###,受講期間  ###[course_period]###,学習時間（時間）  ###[learning_hour]###,学習時間（分）  ###[learning_time]###,社外講師  ###[external_lecturer]###,使用プロジェクト,使用できるプロジェクト,使用力量マップ,有効期間の指定  ###[calculation_switch_type]###,有効期間の種類  ###[calculation_type]###,有効期間（年数）  ###[period_years]###,有効期間（月数）  ###[period_months]###,有効期間（暦月）  ###[specified_month]###,有効期間（日）  ###[date_type]###,有効期限の自動計算  ###[auto_calculation_enabled]###,有効期限の手動修正  ###[changeable_after_calculation]###,[育成計画の初期値]概要  ###[initial_value_training_plan_overview]###,[育成計画の初期値]内部講師（メンバーコード）  ###[initial_value_training_plan_internal_lecturer_code]###,[育成計画の初期値]社外講師  ###[initial_value_training_plan_external_lecturer_name]###,[育成計画の初期値]有効性評価の方法  ###[initial_value_training_plan_effectiveness_evaluation_method]###,[育成計画の初期値]受講者による受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_attendees]###,[育成計画の初期値]他プロジェクトによる受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_other_projects]###
EDU00011,RTOS基礎,CTG201040000,知識＞製品＞共通（ソフト）,EDUCATION_DEFAULT,0,通知しない,RTOSの構成、リソース、動作、リソースの使い方を知っている,,強調する,全メンバーに公開,,,,,,0,,0,0,,"01_確認用 , 00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , サンプルデータ , 4G-スキル、知識 , 第2SEC－スキル・知識 , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00012,ネットワークシステム基礎,CTG201040000,知識＞製品＞共通（ソフト）,EDUCATION_DEFAULT,0,通知しない,"ネットワークに関する知識を有している。
有線LAN/WiFi。",,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 4G-スキル、知識 , 第2SEC－スキル・知識 , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00013,ソフトライセンス基礎,CTG201040000,知識＞製品＞共通（ソフト）,EDUCATION_DEFAULT,0,通知しない,OSSライセンス関する知識を有している,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 4G-スキル、知識 , 第2SEC－スキル・知識 , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00014,セキュリティ基礎,CTG201040000,知識＞製品＞共通（ソフト）,EDUCATION_DEFAULT,0,通知しない,セキュリティ設計の考え方や対応方法を知っている,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 4G-スキル、知識 , 第2SEC－スキル・知識 , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00015,データサイエンス基礎,CTG201040000,知識＞製品＞共通（ソフト）,EDUCATION_DEFAULT,0,通知しない,データ分析でできること、機械学習やディープラーニングに基礎を知っている,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 3G1-スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 3G-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 4G-スキル、知識 , 第2SEC－スキル・知識 , 3G3-スキル・知識 , 3G2-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00016,コーディング規約,CTG201040000,知識＞製品＞共通（ソフト）,EDUCATION_DEFAULT,0,通知しない,マックスコーディング規約の知識を有している,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 3G1-スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 3G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 4G-スキル、知識 , 第2SEC－スキル・知識 , 3G3-スキル・知識 , 3G2-スキル・知識 , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00017,C言語,CTG201040100,知識＞製品＞共通（ソフト）＞プログラム言語,EDUCATION_DEFAULT,0,通知しない,C言語を使い、簡単なプログラムを作成する知識を有している（フローチャート作成、プログラム構成：変数、関数）,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 3G1-スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 3G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 4G-スキル、知識 , 第2SEC－スキル・知識 , 3G3-スキル・知識 , 3G2-スキル・知識 , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00018,スクリプト言語,CTG201040100,知識＞製品＞共通（ソフト）＞プログラム言語,EDUCATION_DEFAULT,0,通知しない,スクリプト系言語(JavaScript等）を使い、簡単なプログラムを作成する知識を有している（フローチャート作成、プログラム構成：変数、関数）,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 4G-スキル、知識 , 第2SEC－スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00019,オブジェクト指向言語,CTG201040100,知識＞製品＞共通（ソフト）＞プログラム言語,EDUCATION_DEFAULT,0,通知しない,オブジェクト指向言語(C++,Java等）を使い、簡単なプログラムを作成する知識を有している（フローチャート作成、プログラム構成：変数、関数）,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 4G-スキル、知識 , 第2SEC－スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00020,データサイエンス言語,CTG201050100,知識＞製品＞共通（ソフト）＞プログラム言語,EDUCATION_DEFAULT,0,通知しない,データサイエンス向け言語(python等）を使い、簡単なプログラムを作成する知識を有している（フローチャート作成、プログラム構成：変数、関数）,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 2G-スキル・知識 , 3G1-スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 3G-スキル・知識 , 5G5SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 4G-スキル、知識 , 第2SEC－スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 1SEC-スキル・知識 , 2SEC-スキル・知識 , 3SEC-スキル・知識 , プロトSEC-スキル・知識 , 3G3-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00021,エアネイラ・充電ネイラ基礎,CTG201060100,知識＞製品＞製品群＞ネイラ,EDUCATION_DEFAULT,0,通知しない,技術の構造、機械的構造、特性、設計のポイント、評価方法、過去の品質問題を知っている,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 1SEC-スキル・知識 , 2SEC-スキル・知識 , 3SEC-スキル・知識 , プロトSEC-スキル・知識 , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00022,PACE（エアネイラ）,CTG201060100,知識＞製品＞製品群＞ネイラ,EDUCATION_DEFAULT,0,通知しない,試験内容と基準を理解している,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"1G-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 1SEC-スキル・知識 , 2SEC-スキル・知識 , 3SEC-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00023,コンプレッサ基礎,CTG201060200,知識＞製品＞製品群＞コンプレッサ,EDUCATION_DEFAULT,0,通知しない,　,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 2G2SEC-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00024,PACE（コンプレッサ）,CTG201060200,知識＞製品＞製品群＞コンプレッサ,EDUCATION_DEFAULT,0,通知しない,試験内容と基準を理解している,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 2G2SEC-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00025,パワーツール基礎,CTG201060300,知識＞製品＞製品群＞パワーツール,EDUCATION_DEFAULT,0,通知しない,　,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 4SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00026,PACE（電池・充電器）,CTG201060400,知識＞製品＞製品群＞電池・充電器,EDUCATION_DEFAULT,0,通知しない,試験内容と基準を理解している,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 5SEC-スキル・知識 , 1SEC-スキル・知識 , 2SEC-スキル・知識 , 3SEC-スキル・知識 , プロトSEC-スキル・知識 , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00027,PACE（打込み機）,CTG201060500,知識＞製品＞製品群＞打込み機,EDUCATION_DEFAULT,0,通知しない,試験内容と基準を理解している,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 1SEC-スキル・知識 , 2SEC-スキル・知識 , 3SEC-スキル・知識 , プロトSEC-スキル・知識 , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00028,PACE（丸ノコ）,CTG201060600,知識＞製品＞製品群＞丸ノコ,EDUCATION_DEFAULT,0,通知しない,試験内容と基準を理解している,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 4SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00029,PACE（インパクト）,CTG201060700,知識＞製品＞製品群＞インパクト,EDUCATION_DEFAULT,0,通知しない,試験内容と基準を理解している,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 4SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00030,PACE（ハンマドリル）,CTG201060800,知識＞製品＞製品群＞ハンマドリル,EDUCATION_DEFAULT,0,通知しない,試験内容と基準を理解している,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 4SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
